Date,Day,Competitor Avg
2024-09-01,6,168
2024-09-02,0,150
2024-09-03,1,160
2024-09-04,2,180
2024-09-05,3,198
2024-09-06,4,238
2024-09-07,5,240
2024-09-08,6,221
2024-09-09,0,160
2024-09-10,1,170
2024-09-11,2,253
2024-09-12,3,279
2024-09-13,4,344
2024-09-14,5,352
2024-09-15,6,340
2024-09-16,0,310
2024-09-17,1,259
2024-09-18,2,198
2024-09-19,3,207
2024-09-20,4,224
2024-09-21,5,239
2024-09-22,6,173
2024-09-23,0,167
2024-09-24,1,174
2024-09-25,2,183
2024-09-26,3,189
2024-09-27,4,234
2024-09-28,5,229
2024-09-29,6,171
2024-09-30,0,164
2024-10-01,1,161
2024-10-02,2,162
2024-10-03,3,174
2024-10-04,4,225
2024-10-05,5,227
2024-10-06,6,160
2024-10-07,0,149
2024-10-08,1,151
2024-10-09,2,228
2024-10-10,3,228
2024-10-11,4,252
2024-10-12,5,252
2024-10-13,6,260
2024-10-14,0,260
2024-10-15,1,260
2024-10-16,2,260
2024-10-17,3,260
2024-10-18,4,252
2024-10-19,5,214
2024-10-20,6,187
2024-10-21,0,200
2024-10-22,1,209
2024-10-23,2,215
2024-10-24,3,209
2024-10-25,4,202
2024-10-26,5,210
2024-10-27,6,190
2024-10-28,0,200
2024-10-29,1,195
2024-10-30,2,197
2024-10-31,3,220
2024-11-01,4,283
2024-11-02,5,289
2024-11-03,6,248
2024-11-04,0,252
2024-11-05,1,271
2024-11-06,2,284
2024-11-07,3,238
2024-11-08,4,251
2024-11-09,5,244
2024-11-10,6,192
2024-11-11,0,203
2024-11-12,1,202
2024-11-13,2,225
2024-11-14,3,245
2024-11-15,4,260
2024-11-16,5,260
2024-11-17,6,202
2024-11-18,0,195
2024-11-19,1,192
2024-11-20,2,189
2024-11-21,3,210
2024-11-22,4,223
2024-11-23,5,218
2024-11-24,6,189
2024-11-25,0,190
2024-11-26,1,192
2024-11-27,2,191
2024-11-28,3,206
2024-11-29,4,225
2024-11-30,5,213
2024-12-01,6,185
2024-12-02,0,185
2024-12-03,1,190
2024-12-04,2,192
2024-12-05,3,228
2024-12-06,4,234
2024-12-07,5,225
2024-12-08,6,193
2024-12-09,0,183
2024-12-10,1,186
2024-12-11,2,194
2024-12-12,3,199
2024-12-13,4,217
2024-12-14,5,224
2024-12-15,6,214
2024-12-16,0,216
2024-12-17,1,223
2024-12-18,2,237
2024-12-19,3,242
2024-12-20,4,273
2024-12-21,5,276
2024-12-22,6,246
2024-12-23,0,240
2024-12-24,1,290
2024-12-25,2,300
2024-12-26,3,310
2024-12-27,4,310
2024-12-28,5,310
2024-12-29,6,300
2024-12-30,0,270
2024-12-31,1,450
2025-01-01,2,450
2025-01-02,3,450
2025-01-03,4,240
2025-01-04,5,240
2025-01-05,6,159
2025-01-06,0,153
2025-01-07,1,148
2025-01-08,2,144
2025-01-09,3,145
2025-01-10,4,161
2025-01-11,5,152
2025-01-12,6,137
2025-01-13,0,164
2025-01-14,1,139
2025-01-15,2,136
2025-01-16,3,146
2025-01-17,4,154
2025-01-18,5,164
2025-01-19,6,166
2025-01-20,0,174
2025-01-21,1,183
2025-01-22,2,191
2025-01-23,3,194
2025-01-24,4,197
2025-01-25,5,188
2025-01-26,6,179
2025-01-27,0,167
2025-01-28,1,175
2025-01-29,2,169
2025-01-30,3,167
2025-01-31,4,184
2025-02-01,5,196
2025-02-02,6,205
2025-02-03,0,241
2025-02-04,1,276
2025-02-05,2,257
2025-02-06,3,237
2025-02-07,4,217
2025-02-08,5,182
2025-02-09,6,147
2025-02-10,0,149
2025-02-11,1,156
2025-02-12,2,163
2025-02-13,3,232
2025-02-14,4,259
2025-02-15,5,288
2025-02-16,6,249
2025-02-17,0,362
2025-02-18,1,362
2025-02-19,2,362
2025-02-20,3,362
2025-02-21,4,435
2025-02-22,5,435
2025-02-23,6,362
2025-02-24,0,362
2025-02-25,1,362
2025-02-26,2,362
2025-02-27,3,362
2025-02-28,4,435
2025-03-01,5,435
2025-03-02,6,384
2025-03-03,0,402
2025-03-04,1,486
2025-03-05,2,487
2025-03-06,3,410
2025-03-07,4,435
2025-03-08,5,435
2025-03-09,6,362
2025-03-10,0,362
2025-03-11,1,362
2025-03-12,2,362
2025-03-13,3,362
2025-03-14,4,435
2025-03-15,5,435
2025-03-16,6,362
2025-03-17,0,362
2025-03-18,1,362
2025-03-19,2,362
2025-03-20,3,362
2025-03-21,4,435
2025-03-22,5,435
2025-03-23,6,362
2025-03-24,0,362
2025-03-25,1,362
2025-03-26,2,362
2025-03-27,3,362
2025-03-28,4,435
2025-03-29,5,435
2025-03-30,6,362
2025-03-31,0,362
2025-04-01,1,362
2025-04-02,2,362
2025-04-03,3,362
2025-04-04,4,435
2025-04-05,5,435
2025-04-06,6,362
2025-04-07,0,362
2025-04-08,1,362
2025-04-09,2,362
2025-04-10,3,362
2025-04-11,4,435
2025-04-12,5,435
2025-04-13,6,362
2025-04-14,0,362
2025-04-15,1,362
2025-04-16,2,362
2025-04-17,3,362
2025-04-18,4,435
2025-04-19,5,435
2025-04-20,6,362
2025-04-21,0,362
2025-04-22,1,362
2025-04-23,2,362
2025-04-24,3,362
2025-04-25,4,435
2025-04-26,5,435
2025-04-27,6,362
2025-04-28,0,362
2025-04-29,1,362
2025-04-30,2,362
2025-05-01,3,362
2025-05-02,4,435
2025-05-03,5,435
2025-05-04,6,394
2025-05-05,0,362
2025-05-06,1,366
2025-05-07,2,362
2025-05-08,3,362
2025-05-09,4,435
2025-05-10,5,435
2025-05-11,6,362
2025-05-12,0,362
2025-05-13,1,362
2025-05-14,2,362
2025-05-15,3,362
2025-05-16,4,435
2025-05-17,5,435
2025-05-18,6,362
2025-05-19,0,362
2025-05-20,1,362
2025-05-21,2,362
2025-05-22,3,387
2025-05-23,4,435
2025-05-24,5,435
2025-05-25,6,362
2025-05-26,0,362
2025-05-27,1,362
2025-05-28,2,362
2025-05-29,3,446
2025-05-30,4,462
2025-05-31,5,446
2025-06-01,6,422
2025-06-02,0,427
2025-06-03,1,427
2025-06-04,2,362
2025-06-05,3,411
2025-06-06,4,445
2025-06-07,5,435
2025-06-08,6,362
2025-06-09,0,362
2025-06-10,1,362
2025-06-11,2,362
2025-06-12,3,362
2025-06-13,4,435
2025-06-14,5,435
2025-06-15,6,362
2025-06-16,0,362
2025-06-17,1,362
2025-06-18,2,366
2025-06-19,3,366
2025-06-20,4,435
2025-06-21,5,435
2025-06-22,6,362
2025-06-23,0,362
2025-06-24,1,362
2025-06-25,2,362
2025-06-26,3,362
2025-06-27,4,435
2025-06-28,5,435
2025-06-29,6,362
2025-06-30,0,362
2025-07-01,1,362
2025-07-02,2,362
2025-07-03,3,362
2025-07-04,4,435
2025-07-05,5,435
2025-07-06,6,362
2025-07-07,0,362
2025-07-08,1,362
2025-07-09,2,362
2025-07-10,3,362
2025-07-11,4,435
2025-07-12,5,435
2025-07-13,6,362
2025-07-14,0,362
2025-07-15,1,362
2025-07-16,2,362
2025-07-17,3,362
2025-07-18,4,435
2025-07-19,5,435
2025-07-20,6,362
2025-07-21,0,362
2025-07-22,1,362
2025-07-23,2,362
2025-07-24,3,362
2025-07-25,4,435
2025-07-26,5,435
2025-07-27,6,362
2025-07-28,0,362
2025-07-29,1,362
2025-07-30,2,362
2025-07-31,3,362
2025-08-01,4,435
2025-08-02,5,435
2025-08-03,6,362
2025-08-04,0,362
2025-08-05,1,362
2025-08-06,2,362
2025-08-07,3,362
2025-08-08,4,435
2025-08-09,5,435
2025-08-10,6,362
2025-08-11,0,362
2025-08-12,1,362
2025-08-13,2,362
2025-08-14,3,362
2025-08-15,4,435
2025-08-16,5,435
2025-08-17,6,362
2025-08-18,0,362
2025-08-19,1,362
2025-08-20,2,362
2025-08-21,3,362
2025-08-22,4,435
2025-08-23,5,435
2025-08-24,6,362
2025-08-25,0,362
2025-08-26,1,362
2025-08-27,2,362
2025-08-28,3,362
2025-08-29,4,435
2025-08-30,5,435
2025-08-31,6,362
